dataset,data_family,scenario,gcm,rcm,variant,rank,year,hwmid_sum,hwmid_method,country_cells,countries,source_file_count,scenario_file_count,reference_file_count,source_inventory_name_size_sha256,available_year_start,available_year_end,rank_year_start,rank_year_end
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CORDEX-CMIP6,SSP370,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,6,2079,69629.01,russo2015-noleap365-v1,6115,Germany+France,151,86,32,fe171846d06faa59dfd4c8f5765548358aa96a1cf8a719dfde6edbfb0821bbc0,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CORDEX-CMIP6,SSP370,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,7,2098,69169.12,russo2015-noleap365-v1,6115,Germany+France,151,86,32,fe171846d06faa59dfd4c8f5765548358aa96a1cf8a719dfde6edbfb0821bbc0,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CORDEX-CMIP6,SSP370,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,8,2059,68885.39,russo2015-noleap365-v1,6115,Germany+France,151,86,32,fe171846d06faa59dfd4c8f5765548358aa96a1cf8a719dfde6edbfb0821bbc0,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CORDEX-CMIP6,SSP370,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,9,2062,68171.85,russo2015-noleap365-v1,6115,Germany+France,151,86,32,fe171846d06faa59dfd4c8f5765548358aa96a1cf8a719dfde6edbfb0821bbc0,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CORDEX-CMIP6,SSP370,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,10,2090,64375.992,russo2015-noleap365-v1,6115,Germany+France,151,86,32,fe171846d06faa59dfd4c8f5765548358aa96a1cf8a719dfde6edbfb0821bbc0,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CORDEX-CMIP6,SSP585,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,1,2100,285857.22,russo2015-noleap365-v1,6115,Germany+France,151,86,32,811400817cfc50eb3d2554d8699241f1cb4dc2dc0943e9a8f95f2af0b5f16dec,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CORDEX-CMIP6,SSP585,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,2,2098,203022.48,russo2015-noleap365-v1,6115,Germany+France,151,86,32,811400817cfc50eb3d2554d8699241f1cb4dc2dc0943e9a8f95f2af0b5f16dec,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CORDEX-CMIP6,SSP585,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,3,2096,190726.2,russo2015-noleap365-v1,6115,Germany+France,151,86,32,811400817cfc50eb3d2554d8699241f1cb4dc2dc0943e9a8f95f2af0b5f16dec,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CORDEX-CMIP6,SSP585,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,4,2097,152584.34,russo2015-noleap365-v1,6115,Germany+France,151,86,32,811400817cfc50eb3d2554d8699241f1cb4dc2dc0943e9a8f95f2af0b5f16dec,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CORDEX-CMIP6,SSP585,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,5,2068,144151.11,russo2015-noleap365-v1,6115,Germany+France,151,86,32,811400817cfc50eb3d2554d8699241f1cb4dc2dc0943e9a8f95f2af0b5f16dec,1950,2100,2015,
