dataset,weighting,rank,year,weighted_hwmid,weighted_countries,hwmid_method
RCP8.5 / MPI-CLM,pv_tyndp2024_pemmdb_nt2040,2,2098,28.39034466814928,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,renewables_tyndp2024_pemmdb_nt2040,1,2092,33.891911776693675,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,renewables_tyndp2024_pemmdb_nt2040,2,2098,29.290320197965347,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,solar_tyndp2024_pemmdb_nt2040,1,2092,33.97009031342771,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,solar_tyndp2024_pemmdb_nt2040,2,2098,29.088081980644645,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,storage_total_tyndp2024_pemmdb_nt2040,1,2092,33.49985534369318,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,storage_total_tyndp2024_pemmdb_nt2040,2,2090,28.058531230778016,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,storage_tyndp2024_pemmdb_nt2040,1,2092,32.78568532060159,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,storage_tyndp2024_pemmdb_nt2040,2,2090,26.521939417101716,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,thermal_nuclear_tyndp2024_pemmdb_nt2040,1,2092,34.30527998364854,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,thermal_nuclear_tyndp2024_pemmdb_nt2040,2,2090,34.049538646461585,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,thermal_tyndp2024_pemmdb_nt2040,1,2090,37.25270027234632,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,thermal_tyndp2024_pemmdb_nt2040,2,2092,34.55966462200259,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,wind_offshore_tyndp2024_pemmdb_nt2040,1,2092,31.815077373297104,Belgium+France+Germany+Italy+Netherlands+Poland+Spain,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,wind_offshore_tyndp2024_pemmdb_nt2040,2,2082,23.997207519682867,Belgium+France+Germany+Italy+Netherlands+Poland+Spain,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,wind_onshore_tyndp2024_pemmdb_nt2040,1,2092,33.62643883615158,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,wind_onshore_tyndp2024_pemmdb_nt2040,2,2098,33.210883871187555,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,wind_tyndp2024_pemmdb_nt2040,1,2092,33.01638670091646,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,wind_tyndp2024_pemmdb_nt2040,2,2098,27.43371233081309,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
