dataset,criterion,criterion_label,metric,rank,year,score,country_cells,aggregation,hwmid_method
RCP4.5 / IPSL-WRF,hwmid_max,Maximum grid-cell HWMId,hwmid,7,2079,81.99172973632812,1779,max,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_max,Maximum grid-cell HWMId,hwmid,8,2043,78.33794403076172,1779,max,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_max,Maximum grid-cell HWMId,hwmid,9,2080,71.58087158203125,1779,max,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_max,Maximum grid-cell HWMId,hwmid,10,2062,63.36592864990234,1779,max,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,1,2040,19.631983343662583,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,2,2070,17.61736095563969,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,3,2043,17.03393317544965,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,4,2079,14.97769776570814,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,5,2041,12.280393786309462,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,6,2062,12.216113271527028,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,7,2086,10.8339692825389,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,8,2064,10.557937401247802,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,9,2039,10.54921179913744,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,10,2080,9.923205970941682,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,1,2043,5.051804122605132,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,2,2065,4.759959803389156,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,3,2086,4.441604971251883,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,4,2070,4.058905791849213,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,5,2079,4.024504713672275,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,6,2039,4.020907417695711,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,7,2095,3.993722366693456,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,8,2088,3.79657418413078,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,9,2041,3.707875540287705,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,10,2038,3.652669745647931,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_sum,HWMId sum,hwmid,1,2092,57152.08984375,1779,sum,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_sum,HWMId sum,hwmid,2,2082,50744.85546875,1779,sum,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_sum,HWMId sum,hwmid,3,2085,41870.55859375,1779,sum,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_sum,HWMId sum,hwmid,4,2098,41549.43359375,1779,sum,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_sum,HWMId sum,hwmid,5,2090,39502.578125,1779,sum,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_sum,HWMId sum,hwmid,6,2072,37310.8828125,1779,sum,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_sum,HWMId sum,hwmid,7,2096,33321.77734375,1779,sum,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_sum,HWMId sum,hwmid,8,2086,31008.078125,1779,sum,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_sum,HWMId sum,hwmid,9,2094,30978.662109375,1779,sum,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_sum,HWMId sum,hwmid,10,2100,29097.6796875,1779,sum,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_area_mean,Area-weighted HWMId mean,hwmid,1,2092,32.60471251284555,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_area_mean,Area-weighted HWMId mean,hwmid,2,2082,29.351449796190483,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_area_mean,Area-weighted HWMId mean,hwmid,3,2098,24.65688381041067,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_area_mean,Area-weighted HWMId mean,hwmid,4,2085,24.335590993458617,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_area_mean,Area-weighted HWMId mean,hwmid,5,2090,22.93743272637783,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_area_mean,Area-weighted HWMId mean,hwmid,6,2072,21.23368409094758,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_area_mean,Area-weighted HWMId mean,hwmid,7,2096,19.369706795589,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_area_mean,Area-weighted HWMId mean,hwmid,8,2086,18.515320897611872,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_area_mean,Area-weighted HWMId mean,hwmid,9,2094,17.852226364284846,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_area_mean,Area-weighted HWMId mean,hwmid,10,2095,17.407483818629125,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_mean,Mean HWMId,hwmid,1,2092,32.1259651184082,1779,mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_mean,Mean HWMId,hwmid,2,2082,28.524370193481445,1779,mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_mean,Mean HWMId,hwmid,3,2085,23.536008834838867,1779,mean,russo2015-noleap365-v1
