dataset,weighting,rank,year,weighted_hwmid,weighted_countries
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,3,2019,4.935544520155228,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,4,2015,4.805992817685128,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,5,2025,4.795537966192501,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,6,2023,4.664900793306306,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,7,2020,3.466385291288278,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,8,2017,3.465128354512525,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,9,2006,2.849598506560681,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,10,2012,2.843368202010302,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,1,2003,6.625118848163857,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,2,2022,5.0428732255157565,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,3,2015,5.024283992797606,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,4,2023,4.347903270579585,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,5,2019,4.280787124021515,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,6,2025,4.0308509090311855,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,7,2017,3.7921947454455993,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,8,1994,3.173971437479264,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,9,2012,2.8948271283802365,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_tyndp2024_pemmdb_nt2040,10,2006,2.883438962705195,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,1,2003,7.762206109012646,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
